OrderID,CustomerID,OrderDate,Revenue,Cost,PromotionType
O000109,C00054,2024-06-15,137.43,88.19,None
O000110,C00054,2024-05-14,146.87,73.68,None
O000111,C00054,2024-06-15,131.29,78.35,None
O000112,C00054,2024-05-18,86.56,43.37,None
O000113,C00055,2024-07-24,96.98,59.12,Percent Off
O000114,C00055,2024-11-07,116.71,71.98,None
O000115,C00056,2024-11-13,134.09,88.58,None
O000116,C00057,2024-02-15,135.78,71.7,None
O000117,C00058,2024-01-25,123.07,65.72,BOGOF
O000118,C00058,2024-02-28,127.45,73.68,None
O000119,C00058,2024-04-11,97.79,60.74,None
O000120,C00058,2024-05-12,92.76,54.42,None
O000121,C00058,2024-03-07,123.25,74.97,None
O000122,C00059,2024-02-26,93.24,60.76,Percent Off
O000123,C00059,2024-04-07,75.3,40.7,None
O000124,C00059,2024-04-07,123.33,69.41,None
O000125,C00059,2024-03-18,81.05,47.41,None
O000126,C00059,2024-04-24,82.82,56.44,None
O000127,C00059,2024-05-14,65.69,33.86,None
O000128,C00060,2024-12-21,85.62,54.73,Percent Off
O000129,C00061,2024-10-27,131.31,76.98,None
O000130,C00062,2024-08-01,93.79,56.89,BOGOF
O000131,C00063,2024-10-31,68.74,41.64,Percent Off
O000132,C00064,2024-09-26,134.68,79.81,None
O000133,C00064,2024-12-20,96.85,61.25,None
O000134,C00064,2024-12-11,150.45,99.74,None
O000135,C00064,2024-10-19,152.82,82.15,None
O000136,C00065,2024-04-11,100.19,51.87,Percent Off
O000137,C00066,2024-01-23,99.83,50.54,None
O000138,C00066,2024-05-04,85.93,58.08,None
O000139,C00066,2024-03-06,143.74,72.99,None
O000140,C00066,2024-04-04,95.88,60.73,None
O000141,C00066,2024-02-13,151.98,102.98,None
O000142,C00066,2024-02-17,127.45,72.02,None
O000143,C00067,2024-11-13,126.7,69.66,None
O000144,C00068,2024-10-01,106.32,54.59,Free Shipping
O000145,C00068,2024-12-24,130.06,65.18,None
O000146,C00068,2024-10-24,141.05,83.66,None
O000147,C00068,2024-12-18,71.05,40.04,None
O000148,C00069,2024-05-13,132.77,91.91,None
O000149,C00070,2024-05-27,89.08,44.78,BOGOF
O000150,C00070,2024-07-06,137.48,75.12,None
O000151,C00070,2024-09-14,143.37,72.8,None
O000152,C00070,2024-09-05,125.74,83.92,None
O000153,C00070,2024-06-22,136.79,85.48,None
O000154,C00070,2024-06-20,160.5,108.0,None
O000155,C00071,2024-04-12,152.68,106.59,None
O000156,C00072,2024-10-09,120.1,70.67,Percent Off
O000157,C00073,2024-06-23,92.92,57.55,None
O000158,C00074,2024-01-14,73.94,50.71,Percent Off
O000159,C00074,2024-02-17,87.19,51.32,None
O000160,C00074,2024-03-01,155.5,93.12,None
O000161,C00074,2024-03-24,96.98,66.72,None
O000162,C00074,2024-02-08,128.12,76.97,None
O000163,C00074,2024-04-23,123.46,64.45,None
O000164,C00075,2024-10-01,112.9,77.34,None
O000165,C00076,2024-08-08,88.15,61.25,Percent Off
O000166,C00076,2024-12-04,87.84,57.06,None
O000167,C00076,2024-11-05,91.12,49.28,None
O000168,C00076,2024-08-31,131.96,67.1,None
O000169,C00077,2024-01-14,58.58,40.41,Percent Off
O000170,C00077,2024-02-29,155.91,102.25,None
O000171,C00077,2024-03-04,138.85,92.7,None
O000172,C00078,2024-01-28,102.08,67.43,Percent Off
O000173,C00079,2024-08-04,100.39,58.27,None
O000174,C00079,2024-11-06,211.55,141.05,None
O000175,C00079,2024-11-22,118.82,77.01,None
O000176,C00079,2024-11-15,140.47,72.9,None
O000177,C00079,2024-08-30,175.7,90.19,None
O000178,C00079,2024-09-03,153.9,84.05,None
O000179,C00080,2024-12-12,104.13,57.2,Free Shipping
O000180,C00081,2024-09-08,109.77,67.99,BOGOF
O000181,C00081,2024-10-04,105.84,68.53,None
O000182,C00081,2024-11-07,115.3,64.26,None
O000183,C00081,2024-11-03,117.22,69.51,None
O000184,C00082,2024-09-29,86.5,57.91,Percent Off
O000185,C00082,2024-12-12,79.5,46.04,None
O000186,C00082,2024-11-25,51.61,32.71,None
O000187,C00082,2024-12-26,91.88,56.08,None
O000188,C00082,2024-12-02,116.41,76.58,None
O000189,C00083,2024-05-01,96.13,57.19,None
O000190,C00083,2024-06-16,127.47,65.64,None
O000191,C00083,2024-08-04,165.8,115.57,None
O000192,C00084,2024-06-30,34.25,18.26,Percent Off
O000193,C00084,2024-08-27,121.86,68.88,None
O000194,C00084,2024-08-20,83.76,46.89,None
O000195,C00084,2024-08-04,87.82,48.41,None
O000196,C00084,2024-09-09,91.2,52.08,None
O000197,C00085,2024-04-02,85.88,46.55,BOGOF
O000198,C00086,2024-06-13,123.63,65.45,None
O000199,C00087,2024-10-01,84.37,47.29,Percent Off
O000200,C00088,2024-10-05,68.03,44.95,Percent Off
O000201,C00088,2024-11-26,70.86,44.27,None
O000202,C00089,2024-11-27,120.36,66.77,None
O000203,C00090,2024-03-26,118.39,66.45,None
O000204,C00091,2024-10-16,103.34,52.85,None
O000205,C00092,2024-04-07,119.78,73.65,Percent Off
O000206,C00093,2024-01-19,78.58,51.5,Percent Off
O000207,C00094,2024-03-23,127.88,85.42,None
O000208,C00095,2024-03-08,81.45,55.21,None
O000209,C00096,2024-11-01,94.02,60.96,BOGOF
O000210,C00096,2024-11-22,74.87,47.72,None
O000211,C00097,2024-07-30,103.97,68.61,None
O000212,C00097,2024-11-16,143.27,83.56,None
O000213,C00097,2024-10-08,158.13,107.21,None
O000214,C00097,2024-09-21,135.79,90.11,None
O000215,C00097,2024-09-21,178.23,107.4,None
O000216,C00098,2024-07-22,121.49,81.87,None
O000217,C00099,2024-12-09,67.43,35.49,Percent Off
O000218,C00100,2024-08-19,139.24,74.22,None
O000219,C00101,2024-05-01,48.52,33.03,Free Shipping
O000220,C00102,2024-08-14,89.91,55.33,BOGOF
O000221,C00102,2024-10-23,92.68,63.74,None
O000222,C00103,2024-07-02,101.01,68.57,Percent Off
O000223,C00103,2024-07-29,110.04,58.87,None
O000224,C00103,2024-10-16,111.71,70.88,None
O000225,C00103,2024-10-11,82.94,55.97,None
O000226,C00104,2024-05-08,71.46,39.3,Percent Off
O000227,C00104,2024-07-05,133.73,68.3,None
O000228,C00104,2024-07-04,141.54,81.43,None
O000229,C00104,2024-08-20,80.81,49.37,None
O000230,C00104,2024-08-27,78.09,42.16,None
O000231,C00104,2024-06-29,75.01,51.73,None
O000232,C00105,2024-01-24,79.33,54.65,BOGOF
O000233,C00106,2024-02-16,99.84,62.21,Percent Off
O000234,C00107,2024-09-08,114.98,69.28,BOGOF
O000235,C00108,2024-05-08,81.53,52.31,Percent Off
O000236,C00109,2024-03-19,97.15,61.68,Percent Off
O000237,C00110,2024-08-18,97.63,53.24,BOGOF
O000238,C00111,2024-11-24,86.85,51.56,BOGOF
O000239,C00112,2024-10-28,91.1,50.62,Percent Off
O000240,C00113,2024-01-26,101.81,69.81,None
O000241,C00114,2024-07-18,132.98,72.22,None
O000242,C00115,2024-02-10,135.15,80.16,None
O000243,C00116,2024-02-11,99.5,61.9,BOGOF
O000244,C00116,2024-04-15,122.14,79.41,None
O000245,C00116,2024-04-30,118.13,64.66,None
O000246,C00116,2024-05-02,98.84,62.81,None
O000247,C00117,2024-04-18,99.86,57.66,Percent Off
O000248,C00117,2024-06-01,102.85,66.84,None
O000249,C00117,2024-05-28,79.15,44.05,None
O000250,C00117,2024-06-27,96.52,56.34,None
O000251,C00117,2024-07-04,75.09,41.95,None
O000252,C00117,2024-07-27,69.19,35.17,None
O000253,C00118,2024-08-26,124.17,78.31,Free Shipping
O000254,C00118,2024-11-23,157.57,105.51,None
O000255,C00118,2024-10-03,92.77,51.61,None
O000256,C00118,2024-11-17,138.88,96.2,None
O000257,C00118,2024-11-23,136.9,95.56,None
O000258,C00119,2024-09-20,114.45,64.37,Percent Off
O000259,C00119,2024-10-19,100.48,70.03,None
O000260,C00119,2024-10-23,105.74,72.73,None
O000261,C00119,2024-11-21,65.29,34.8,None
O000262,C00120,2024-11-29,90.65,49.68,BOGOF
O000263,C00121,2024-11-12,102.4,60.39,None
O000264,C00122,2024-09-27,94.79,50.99,None
O000265,C00122,2024-11-12,141.61,78.54,None
O000266,C00122,2024-12-06,153.13,81.99,None
O000267,C00123,2024-06-29,87.02,59.9,Free Shipping
O000268,C00124,2024-01-15,113.07,66.99,None
O000269,C00125,2024-02-28,111.79,75.04,BOGOF
O000270,C00125,2024-03-21,85.78,58.49,None
O000271,C00125,2024-05-12,138.39,76.71,None
O000272,C00125,2024-04-11,82.34,44.31,None
O000273,C00125,2024-04-04,96.78,56.71,None
O000274,C00126,2024-12-21,63.87,42.55,Percent Off
O000275,C00127,2024-10-23,83.59,50.03,None
O000276,C00127,2024-12-07,141.75,91.68,None
O000277,C00127,2024-11-20,163.8,94.68,None
O000278,C00128,2024-09-14,136.44,77.91,Free Shipping
O000279,C00128,2024-12-31,136.3,93.55,None
O000280,C00128,2024-11-10,146.29,97.16,None
O000281,C00128,2024-11-06,162.74,110.61,None
O000282,C00128,2024-12-29,135.25,78.43,None
O000283,C00129,2024-06-18,109.33,56.95,Free Shipping
O000284,C00130,2024-07-05,130.13,77.14,None
O000285,C00130,2024-09-18,99.39,67.5,None
O000286,C00130,2024-09-28,146.07,95.92,None
O000287,C00130,2024-08-06,157.18,105.73,None
O000288,C00130,2024-10-01,172.87,94.15,None
O000289,C00130,2024-08-21,142.32,92.46,None
O000290,C00131,2024-09-16,127.55,78.09,None
O000291,C00131,2024-11-12,133.35,75.94,None
O000292,C00131,2024-11-26,146.27,74.61,None
O000293,C00131,2024-10-30,138.24,81.78,None
O000294,C00132,2024-01-27,88.97,48.51,BOGOF
O000295,C00133,2024-02-06,109.72,62.74,Free Shipping
O000296,C00134,2024-06-17,69.05,45.86,Free Shipping
O000297,C00135,2024-03-24,94.26,62.32,None
O000298,C00136,2024-01-18,67.06,36.33,BOGOF
O000299,C00136,2024-04-21,127.43,78.13,None
O000300,C00137,2024-07-25,80.22,43.04,Percent Off
O000301,C00137,2024-09-17,80.19,44.96,None
O000302,C00137,2024-10-14,44.09,30.27,None
O000303,C00137,2024-08-16,108.4,54.91,None
O000304,C00137,2024-10-31,148.93,88.63,None
O000305,C00137,2024-11-05,71.32,45.02,None
O000306,C00138,2024-10-28,78.75,54.67,Percent Off
O000307,C00139,2024-06-19,88.15,51.44,BOGOF
O000308,C00139,2024-09-25,114.26,74.81,None
O000309,C00139,2024-07-13,111.91,70.46,None
O000310,C00139,2024-08-25,105.51,57.64,None
O000311,C00140,2024-07-06,128.19,65.29,None
O000312,C00141,2024-03-14,88.37,51.93,Percent Off
O000313,C00142,2024-06-23,83.72,54.42,Percent Off
O000314,C00143,2024-04-19,130.6,79.35,None
O000315,C00143,2024-05-12,123.57,84.21,None
O000316,C00143,2024-07-18,136.37,72.45,None
O000317,C00143,2024-07-24,137.48,88.26,None
O000318,C00143,2024-05-28,97.07,50.39,None
O000319,C00144,2024-10-06,102.46,68.37,None
O000320,C00144,2024-12-01,107.13,73.2,None
O000321,C00144,2024-12-24,169.26,98.28,None
O000322,C00145,2024-01-26,148.59,96.65,None
O000323,C00146,2024-07-12,70.34,45.46,Percent Off
O000324,C00147,2024-05-01,131.36,69.53,BOGOF
O000325,C00148,2024-08-02,144.01,84.43,None
O000326,C00149,2024-01-11,122.81,83.88,None
O000327,C00149,2024-02-29,142.64,79.15,None
O000328,C00149,2024-02-22,94.68,64.41,None
O000329,C00150,2024-07-17,91.76,56.15,Percent Off
O000330,C00151,2024-12-19,114.99,73.89,None
O000331,C00152,2024-08-20,77.61,42.08,Free Shipping
O000332,C00153,2024-10-27,85.22,56.59,Free Shipping
O000333,C00154,2024-03-11,78.79,49.16,Percent Off
O000334,C00155,2024-06-13,65.62,43.05,Percent Off
O000335,C00156,2024-11-06,91.44,53.6,BOGOF
O000336,C00157,2024-02-22,92.72,49.72,None
O000337,C00158,2024-07-11,70.7,43.08,Percent Off
O000338,C00158,2024-10-04,74.29,39.08,None
O000339,C00158,2024-10-27,56.28,37.11,None
O000340,C00158,2024-08-23,149.53,96.42,None
O000341,C00158,2024-08-20,73.15,48.35,None
O000342,C00159,2024-01-13,145.65,74.35,None
O000343,C00159,2024-05-08,134.02,89.26,None
O000344,C00159,2024-02-07,133.44,92.02,None
O000345,C00160,2024-01-11,98.43,54.72,None
O000346,C00160,2024-02-17,112.63,65.77,None
O000347,C00161,2024-02-28,61.81,31.26,Free Shipping
O000348,C00162,2024-03-03,146.37,73.51,None
O000349,C00163,2024-08-19,83.22,51.4,Percent Off
O000350,C00163,2024-11-29,99.06,50.76,None
O000351,C00163,2024-09-10,160.73,104.52,None
O000352,C00164,2024-08-11,126.01,66.33,Free Shipping
O000353,C00165,2024-02-24,61.76,33.62,Percent Off
O000354,C00165,2024-03-17,92.28,61.22,None
O000355,C00165,2024-06-16,50.36,33.95,None
O000356,C00165,2024-05-14,84.75,43.79,None
O000357,C00165,2024-05-29,116.93,59.67,None
O000358,C00166,2024-05-29,69.5,41.6,Percent Off
O000359,C00166,2024-08-14,148.44,90.63,None
O000360,C00166,2024-09-14,96.1,52.21,None
O000361,C00166,2024-07-16,83.27,56.81,None
O000362,C00167,2024-01-07,80.85,49.28,Free Shipping
O000363,C00168,2024-12-06,99.11,52.04,None
O000364,C00169,2024-03-29,65.26,40.27,Free Shipping
O000365,C00169,2024-07-23,128.13,70.72,None
O000366,C00169,2024-07-15,86.55,58.62,None
O000367,C00170,2024-08-23,78.75,43.0,Percent Off
O000368,C00170,2024-09-30,115.25,73.12,None
O000369,C00170,2024-11-07,112.91,75.07,None
O000370,C00170,2024-10-10,124.32,72.03,None
O000371,C00170,2024-11-13,112.04,64.1,None
O000372,C00171,2024-11-29,71.08,45.08,Percent Off
O000373,C00172,2024-04-07,93.9,56.43,BOGOF
O000374,C00172,2024-06-30,98.35,64.79,None
O000375,C00172,2024-05-17,132.32,89.08,None
O000376,C00173,2024-12-12,121.59,67.83,Percent Off
O000377,C00174,2024-02-13,93.72,54.87,None
O000378,C00175,2024-12-15,135.33,82.94,Free Shipping
O000379,C00176,2024-07-25,138.56,84.69,None
O000380,C00177,2024-07-15,110.86,55.79,Free Shipping
O000381,C00178,2024-06-26,108.27,59.61,BOGOF
O000382,C00179,2024-06-27,80.52,41.91,BOGOF
O000383,C00179,2024-08-21,132.51,74.85,None
O000384,C00179,2024-09-16,121.28,77.05,None
O000385,C00180,2024-08-15,118.34,75.33,Percent Off
O000386,C00181,2024-11-23,125.46,73.5,BOGOF
O000387,C00182,2024-09-18,119.45,82.25,None
O000388,C00183,2024-05-22,92.57,58.53,Free Shipping
O000389,C00184,2024-04-23,135.23,73.36,None
O000390,C00184,2024-07-12,103.5,52.68,None
O000391,C00184,2024-05-29,113.83,67.81,None
O000392,C00185,2024-07-04,119.99,82.29,BOGOF
O000393,C00185,2024-08-18,111.97,74.05,None
O000394,C00185,2024-08-13,102.41,68.45,None
O000395,C00185,2024-08-25,148.23,94.06,None
O000396,C00185,2024-08-29,107.62,69.4,None
O000397,C00186,2024-12-02,165.88,109.66,None
O000398,C00187,2024-03-28,92.45,61.13,BOGOF
O000399,C00187,2024-05-02,110.31,56.69,None
O000400,C00187,2024-05-11,181.71,94.12,None
O000401,C00187,2024-06-26,68.29,46.67,None
O000402,C00187,2024-07-25,136.47,79.33,None
O000403,C00188,2024-09-29,108.83,60.8,Free Shipping
O000404,C00189,2024-06-10,70.34,44.99,Percent Off
O000405,C00190,2024-11-25,97.77,62.18,Percent Off
O000406,C00191,2024-10-06,141.16,78.93,None
O000407,C00191,2024-12-24,114.94,67.64,None
O000408,C00191,2024-11-22,125.62,63.87,None
O000409,C00192,2024-04-04,132.65,88.54,None
O000410,C00192,2024-06-11,142.25,97.42,None
O000411,C00192,2024-05-19,132.92,74.92,None
O000412,C00192,2024-07-04,55.3,37.54,None
O000413,C00192,2024-06-20,101.3,56.7,None
O000414,C00193,2024-01-10,138.45,93.9,None
O000415,C00193,2024-05-07,102.56,51.55,None
O000416,C00193,2024-03-28,116.05,70.57,None
O000417,C00193,2024-02-24,150.21,77.66,None
O000418,C00194,2024-06-12,155.32,94.71,Free Shipping
O000419,C00194,2024-09-11,104.09,54.92,None
O000420,C00194,2024-09-09,54.8,28.29,None
O000421,C00194,2024-08-11,95.11,48.81,None
O000422,C00194,2024-08-31,110.4,74.88,None
O000423,C00194,2024-07-13,65.93,39.25,None
O000424,C00195,2024-01-11,112.11,63.19,None
O000425,C00196,2024-12-05,125.43,80.14,None
O000426,C00197,2024-09-15,141.14,91.42,None
O000427,C00198,2024-05-30,98.79,54.47,BOGOF
O000428,C00199,2024-09-21,100.14,58.6,None
O000429,C00200,2024-06-08,87.36,55.45,Percent Off
O000430,C00201,2024-03-02,116.57,65.46,None
O000431,C00202,2024-01-13,72.3,39.42,Percent Off
O000432,C00203,2024-03-03,99.08,59.92,Percent Off
O000433,C00203,2024-04-23,123.04,77.56,None
O000434,C00203,2024-04-07,81.15,54.09,None
O000435,C00203,2024-05-09,99.4,51.03,None
O000436,C00204,2024-11-05,128.83,65.65,None
O000437,C00204,2024-12-05,134.94,86.07,None
O000438,C00204,2024-12-02,120.27,66.2,None
O000439,C00205,2024-04-13,103.28,70.18,Percent Off
O000440,C00206,2024-03-13,89.09,54.93,None
O000441,C00207,2024-07-30,147.99,87.79,None
O000442,C00207,2024-08-27,101.45,66.36,None
O000443,C00207,2024-09-11,146.55,88.8,None
O000444,C00208,2024-11-06,91.6,59.21,BOGOF
O000445,C00209,2024-04-03,132.54,84.19,None
O000446,C00210,2024-01-24,123.73,71.02,None
O000447,C00211,2024-11-09,81.92,50.46,BOGOF
O000448,C00211,2024-12-27,136.06,69.72,None
O000449,C00212,2024-04-01,121.57,64.72,None
O000450,C00213,2024-12-21,77.43,54.16,None
O000451,C00214,2024-08-23,96.93,50.7,None
O000452,C00215,2024-04-17,61.25,35.71,BOGOF
O000453,C00215,2024-05-09,159.82,81.87,None
O000454,C00215,2024-05-10,90.52,59.99,None
O000455,C00215,2024-05-27,114.31,78.98,None
O000456,C00215,2024-07-21,122.77,65.1,None
O000457,C00215,2024-07-28,171.11,105.47,None
O000458,C00216,2024-03-24,89.15,51.74,Free Shipping
O000459,C00216,2024-06-08,127.07,64.5,None
O000460,C00217,2024-12-16,81.45,50.82,Free Shipping
O000461,C00218,2024-04-17,79.61,41.66,BOGOF
O000462,C00218,2024-06-21,103.47,62.91,None
O000463,C00218,2024-05-15,113.1,77.09,None
O000464,C00218,2024-06-04,90.21,52.25,None
O000465,C00218,2024-06-04,90.73,48.11,None
O000466,C00219,2024-06-19,76.19,44.69,Percent Off
O000467,C00220,2024-01-21,130.11,86.61,None
O000468,C00220,2024-05-03,172.23,113.37,None
O000469,C00220,2024-02-16,129.23,72.55,None
O000470,C00220,2024-04-13,152.12,82.0,None
O000471,C00221,2024-07-10,61.65,43.0,Percent Off
O000472,C00221,2024-10-06,129.46,65.77,None
O000473,C00221,2024-09-20,110.9,68.33,None
O000474,C00221,2024-09-02,36.69,25.22,None
O000475,C00221,2024-10-19,94.44,62.51,None
O000476,C00222,2024-10-09,160.94,111.06,None
O000477,C00222,2024-11-15,144.01,82.13,None
O000478,C00223,2024-09-07,90.54,56.32,None
O000479,C00223,2024-09-28,138.29,94.1,None
O000480,C00223,2024-11-12,120.26,69.35,None
O000481,C00223,2024-11-03,127.66,65.07,None
O000482,C00223,2024-12-26,98.76,65.59,None
O000483,C00224,2024-07-04,126.52,72.19,None
O000484,C00225,2024-03-05,124.17,75.86,Free Shipping
O000485,C00226,2024-03-03,144.82,89.75,None
O000486,C00227,2024-07-11,131.47,90.93,None
O000487,C00228,2024-09-16,68.12,42.58,BOGOF
O000488,C00228,2024-11-09,122.63,81.42,None
O000489,C00228,2024-10-21,122.48,68.18,None
O000490,C00228,2024-12-17,124.09,82.82,None
O000491,C00229,2024-07-15,76.47,47.8,None
O000492,C00229,2024-11-01,153.54,82.43,None
O000493,C00229,2024-10-01,123.06,62.79,None
O000494,C00229,2024-11-01,103.62,60.05,None
O000495,C00230,2024-02-22,26.41,15.23,Percent Off
O000496,C00231,2024-04-01,126.06,66.69,Percent Off
O000497,C00232,2024-02-06,133.91,90.47,Free Shipping
O000498,C00233,2024-08-13,122.95,85.07,Percent Off
O000499,C00233,2024-11-12,104.38,65.67,None
O000500,C00233,2024-11-25,66.58,33.9,None
O000501,C00234,2024-05-30,90.91,48.54,Free Shipping
O000502,C00234,2024-06-28,109.53,71.34,None
O000503,C00234,2024-08-09,91.92,47.04,None
O000504,C00235,2024-10-15,109.99,70.19,Free Shipping
O000505,C00236,2024-08-27,89.75,56.94,BOGOF
O000506,C00236,2024-11-06,97.47,61.24,None
O000507,C00236,2024-12-23,102.45,59.73,None
O000508,C00236,2024-09-25,44.92,22.68,None
O000509,C00236,2024-11-10,84.74,44.04,None
O000510,C00237,2024-04-07,109.7,75.84,None
O000511,C00238,2024-06-05,81.68,47.26,Free Shipping
O000512,C00238,2024-09-25,143.36,73.14,None
O000513,C00239,2024-10-23,59.77,36.91,Percent Off
O000514,C00239,2024-11-23,112.68,57.98,None
O000515,C00239,2024-11-13,77.56,50.92,None
O000516,C00240,2024-07-19,68.76,48.03,BOGOF
O000517,C00240,2024-10-02,97.46,56.71,None
O000518,C00240,2024-11-04,75.69,52.65,None
O000519,C00240,2024-11-11,122.51,69.44,None
O000520,C00240,2024-10-03,96.66,62.46,None
O000521,C00240,2024-08-13,152.8,101.85,None
O000522,C00241,2024-11-29,50.05,33.07,Percent Off
O000523,C00242,2024-07-31,123.19,65.05,None
O000524,C00243,2024-01-31,77.68,47.36,Percent Off
O000525,C00243,2024-03-03,75.86,39.95,None
O000526,C00243,2024-05-24,140.73,74.83,None
O000527,C00243,2024-04-24,85.46,54.17,None
O000528,C00243,2024-04-05,70.65,42.16,None
O000529,C00244,2024-06-02,48.37,29.93,Percent Off
O000530,C00245,2024-03-12,78.97,42.04,Free Shipping
O000531,C00246,2024-06-29,161.92,87.76,None
